,Visited
2019-08-22,339175
2019-08-23,450290
2019-08-24,259639
2019-08-25,450881
2019-08-26,471817
2019-08-27,458600
2019-08-28,417980
2019-08-29,364369
2019-08-30,588019
2019-08-31,397207
2019-09-01,507382
2019-09-02,452474
2019-09-03,321142
2019-09-04,404547
2019-09-05,515435
2019-09-06,363305
2019-09-07,246917
2019-09-08,91889
2019-09-09,501952
2019-09-10,667758
2019-09-11,406264
2019-09-12,530096
2019-09-13,449724
2019-09-14,462414
2019-09-15,231393
2019-09-16,290409
2019-09-17,428290
2019-09-18,639410
2019-09-19,382374
2019-09-20,369887
2019-09-21,486623
2019-09-22,438672
2019-09-23,351830
2019-09-24,639964
2019-09-25,230908
2019-09-26,421784
2019-09-27,420028
2019-09-28,343902
2019-09-29,515003
2019-09-30,560548
2019-10-01,208440
2019-10-02,175213
2019-10-03,334808
2019-10-04,576417
2019-10-05,288344
2019-10-06,497293
2019-10-07,484305
2019-10-08,409680
2019-10-09,514103
2019-10-10,235398
2019-10-11,421772
2019-10-12,330905
2019-10-13,369276
2019-10-14,531198
2019-10-15,468438
2019-10-16,468903
2019-10-17,391252
2019-10-18,502009
2019-10-19,457898
2019-10-20,460646
2019-10-21,421092
2019-10-22,660562
2019-10-23,446169
2019-10-24,380874
2019-10-25,533445
2019-10-26,615616
2019-10-27,566549
2019-10-28,497865
2019-10-29,616724
2019-10-30,729785
2019-10-31,569575
2019-11-01,584087
2019-11-02,317352
2019-11-03,393660
2019-11-04,349744
2019-11-05,544423
2019-11-06,728206
2019-11-07,314309
2019-11-08,327635
2019-11-09,612847
2019-11-10,503495
2019-11-11,435754
2019-11-12,590823
2019-11-13,368148
2019-11-14,658267
2019-11-15,444886
2019-11-16,666546
2019-11-17,553181
2019-11-18,480603
2019-11-19,473174
2019-11-20,615949
2019-11-21,570286
2019-11-22,622566
2019-11-23,522066
2019-11-24,588994
2019-11-25,445130
2019-11-26,514485
2019-11-27,636743
2019-11-28,591591
2019-11-29,726685
2019-11-30,727752
2019-12-01,830533
2019-12-02,502053
2019-12-03,594598
2019-12-04,697259
2019-12-05,543652
2019-12-06,558024
2019-12-07,511226
2019-12-08,937743
2019-12-09,730018
2019-12-10,1131426
2019-12-11,534150
2019-12-12,333822
2019-12-13,742391
2019-12-14,773562
2019-12-15,873861
2019-12-16,322834
2019-12-17,768059
2019-12-18,574194
2019-12-19,671593
2019-12-20,578859
2019-12-21,709031
2019-12-22,805822
2019-12-23,434716
2019-12-24,694600
2019-12-25,643601
2019-12-26,679442
2019-12-27,536906
2019-12-28,769810
2019-12-29,580175
2019-12-30,956382
2019-12-31,1027230
2020-01-01,325200
2020-01-02,740853
2020-01-03,716337
2020-01-04,735641
2020-01-05,483104
2020-01-06,596631
2020-01-07,852735
2020-01-08,747538
2020-01-09,1127438
2020-01-10,774022
2020-01-11,836138
2020-01-12,519284
2020-01-13,883553
2020-01-14,676500
2020-01-15,733581
2020-01-16,628753
2020-01-17,808159
2020-01-18,651322
2020-01-19,979765
2020-01-20,553294
2020-01-21,350937
2020-01-22,734723
2020-01-23,499480
2020-01-24,736055
2020-01-25,829489
2020-01-26,884563
2020-01-27,684006
2020-01-28,950000
2020-01-29,995971
2020-01-30,907203
2020-01-31,947830
2020-02-01,505162
2020-02-02,656892
2020-02-03,741862
2020-02-04,957868
2020-02-05,1095668
2020-02-06,990517
2020-02-07,819244
2020-02-08,959196
2020-02-09,896124
2020-02-10,769034
2020-02-11,1073534
2020-02-12,924974
2020-02-13,512722
2020-02-14,1052519
2020-02-15,842535
2020-02-16,896874
2020-02-17,776605
2020-02-18,575163
2020-02-19,483444
2020-02-20,1073527
2020-02-21,1270026
2020-02-22,572935
2020-02-23,1005299
2020-02-24,893553
2020-02-25,852643
2020-02-26,620918
2020-02-27,923509
2020-02-28,627232
2020-02-29,825084
2020-03-01,556920
2020-03-02,1069287
2020-03-03,902362
2020-03-04,974762
2020-03-05,978190
2020-03-06,992899
2020-03-07,557995
2020-03-08,544114
2020-03-09,647656
2020-03-10,564983
2020-03-11,675850
2020-03-12,846002
2020-03-13,711016
2020-03-14,863006
2020-03-15,671094
2020-03-16,774806
2020-03-17,672938
2020-03-18,432807
2020-03-19,891144
2020-03-20,419199
2020-03-21,780256
2020-03-22,819010
2020-03-23,654093
2020-03-24,610919
2020-03-25,816308
2020-03-26,1154773
2020-03-27,1135217
2020-03-28,1287087
2020-03-29,902524
2020-03-30,498558
2020-03-31,881465
2020-04-01,562466
2020-04-02,1187216
2020-04-03,1042365
2020-04-04,1126353
2020-04-05,926702
2020-04-06,805269
2020-04-07,1067280
2020-04-08,683633
2020-04-09,641639
2020-04-10,824544
2020-04-11,818122
2020-04-12,896311
2020-04-13,1058081
2020-04-14,954749
2020-04-15,595370
2020-04-16,779999
2020-04-17,691239
2020-04-18,943792
2020-04-19,802055
2020-04-20,802962
2020-04-21,606705
2020-04-22,895079
2020-04-23,1210971
2020-04-24,727352
2020-04-25,750261
2020-04-26,898845
2020-04-27,399523
2020-04-28,914126
2020-04-29,924515
2020-04-30,834443
2020-05-01,1014815
2020-05-02,929536
2020-05-03,560813
2020-05-04,885425
2020-05-05,934977
2020-05-06,528220
2020-05-07,810811
2020-05-08,711241
2020-05-09,741715
2020-05-10,870770
2020-05-11,1096068
2020-05-12,834652
2020-05-13,1347220
2020-05-14,695281
2020-05-15,1026665
2020-05-16,858808
2020-05-17,745364
2020-05-18,1042717
2020-05-19,781824
2020-05-20,583370
2020-05-21,662571
2020-05-22,946122
2020-05-23,724452
2020-05-24,213980
2020-05-25,1139100
2020-05-26,738046
2020-05-27,1080375
2020-05-28,963670
2020-05-29,487779
2020-05-30,463634
2020-05-31,661202
2020-06-01,1163968
2020-06-02,615335
2020-06-03,830340
2020-06-04,1164360
2020-06-05,780289
2020-06-06,938534
2020-06-07,893638
2020-06-08,1081580
2020-06-09,836872
2020-06-10,677132
2020-06-11,767782
2020-06-12,673060
2020-06-13,862308
2020-06-14,717967
2020-06-15,644773
2020-06-16,507434
2020-06-17,1116112
2020-06-18,787980
2020-06-19,833726
2020-06-20,771484
2020-06-21,1330372
2020-06-22,761974
2020-06-23,671279
2020-06-24,960673
2020-06-25,747968
2020-06-26,1165968
2020-06-27,591605
2020-06-28,1053865
2020-06-29,633640
2020-06-30,897731
2020-07-01,669462
2020-07-02,756095
2020-07-03,1065565
2020-07-04,934645
2020-07-05,486516
2020-07-06,860977
2020-07-07,758148
2020-07-08,787700
2020-07-09,817145
2020-07-10,1107042
2020-07-11,634782
2020-07-12,734458
2020-07-13,1113493
2020-07-14,1241563
2020-07-15,512529
2020-07-16,999646
2020-07-17,885486
2020-07-18,562184
2020-07-19,733564
2020-07-20,1087932
2020-07-21,601651
2020-07-22,1008953
2020-07-23,734856
2020-07-24,1163106
2020-07-25,1056689
2020-07-26,694188
2020-07-27,1152021
2020-07-28,802799
2020-07-29,661902
2020-07-30,897497
2020-07-31,742975
2020-08-01,714249
2020-08-02,860872
2020-08-03,988461
2020-08-04,811138
2020-08-05,1023198
2020-08-06,1220410
2020-08-07,1281013
2020-08-08,906963
2020-08-09,643178
2020-08-10,840122
2020-08-11,984386
2020-08-12,404367
2020-08-13,598808
2020-08-14,918041
2020-08-15,877451
2020-08-16,691170
2020-08-17,707361
2020-08-18,895119
2020-08-19,1043958
2020-08-20,1053740
2020-08-21,757600
2020-08-22,997115
2020-08-23,1651117
2020-08-24,864037
2020-08-25,624888
2020-08-26,872458
2020-08-27,744058
2020-08-28,1168040
2020-08-29,788457
2020-08-30,1110041
2020-08-31,1058603
2020-09-01,882574
2020-09-02,1257115
2020-09-03,1079003
2020-09-04,1138692
2020-09-05,1007069
2020-09-06,532130
2020-09-07,849215
2020-09-08,679374
2020-09-09,363801
2020-09-10,949060
2020-09-11,606587
2020-09-12,1071380
2020-09-13,981120
2020-09-14,866404
2020-09-15,917012
2020-09-16,1418842
2020-09-17,951906
2020-09-18,1185327
2020-09-19,1071052
2020-09-20,1049529
2020-09-21,995628
