,Visited
2019-09-27,105701
2019-09-28,96626
2019-09-29,101151
2019-09-30,90941
2019-10-01,79297
2019-10-02,77444
2019-10-03,83277
2019-10-04,83411
2019-10-05,89714
2019-10-06,88616
2019-10-07,86897
2019-10-08,87465
2019-10-09,90048
2019-10-10,97192
2019-10-11,93872
2019-10-12,91337
2019-10-13,99334
2019-10-14,95434
2019-10-15,92321
2019-10-16,92928
2019-10-17,97732
2019-10-18,101151
2019-10-19,97014
2019-10-20,95923
2019-10-21,96688
2019-10-22,94146
2019-10-23,96324
2019-10-24,104280
2019-10-25,95905
2019-10-26,92490
2019-10-27,95214
2019-10-28,92958
2019-10-29,95565
2019-10-30,92900
2019-10-31,92337
2019-11-01,96315
2019-11-02,100453
2019-11-03,99952
2019-11-04,99659
2019-11-05,107884
2019-11-06,104645
2019-11-07,103775
2019-11-08,108077
2019-11-09,107657
2019-11-10,110453
2019-11-11,115670
2019-11-12,110242
2019-11-13,120533
2019-11-14,113397
2019-11-15,119055
2019-11-16,113880
2019-11-17,104869
2019-11-18,113084
2019-11-19,115624
2019-11-20,112289
2019-11-21,110827
2019-11-22,115523
2019-11-23,115160
2019-11-24,111160
2019-11-25,113775
2019-11-26,112171
2019-11-27,108331
2019-11-28,111510
2019-11-29,105954
2019-11-30,102746
2019-12-01,116889
2019-12-02,121372
2019-12-03,124362
2019-12-04,122466
2019-12-05,121150
2019-12-06,132398
2019-12-07,133245
2019-12-08,126488
2019-12-09,126488
2019-12-10,128341
2019-12-11,133092
2019-12-12,134179
2019-12-13,140926
2019-12-14,127450
2019-12-15,126890
2019-12-16,129073
2019-12-17,133697
2019-12-18,126043
2019-12-19,131222
2019-12-20,129425
2019-12-21,125049
2019-12-22,128818
2019-12-23,120776
2019-12-24,115920
2019-12-25,124715
2019-12-26,120706
2019-12-27,116300
2019-12-28,107599
2019-12-29,106771
2019-12-30,114106
2019-12-31,111362
2020-01-01,120323
2020-01-02,117644
2020-01-03,111459
2020-01-04,115907
2020-01-05,112075
2020-01-06,113148
2020-01-07,115677
2020-01-08,120621
2020-01-09,123290
2020-01-10,118367
2020-01-11,118114
2020-01-12,122156
2020-01-13,122106
2020-01-14,130167
2020-01-15,131070
2020-01-16,125334
2020-01-17,123061
2020-01-18,113844
2020-01-19,119994
2020-01-20,120024
2020-01-21,111288
2020-01-22,117939
2020-01-23,117189
2020-01-24,111834
2020-01-25,109897
2020-01-26,115066
2020-01-27,107051
2020-01-28,111727
2020-01-29,107464
2020-01-30,106199
2020-01-31,101246
2020-02-01,111397
2020-02-02,119973
2020-02-03,108390
2020-02-04,105020
2020-02-05,115472
2020-02-06,115844
2020-02-07,125232
2020-02-08,109746
2020-02-09,109772
2020-02-10,113360
2020-02-11,115362
2020-02-12,119213
2020-02-13,116463
2020-02-14,120429
2020-02-15,114816
2020-02-16,113870
2020-02-17,112327
2020-02-18,113886
2020-02-19,115031
2020-02-20,109157
2020-02-21,110905
2020-02-22,104913
2020-02-23,106670
2020-02-24,101557
2020-02-25,98983
2020-02-26,101682
2020-02-27,99444
2020-02-28,97451
2020-02-29,90802
2020-03-01,84304
2020-03-02,87172
2020-03-03,94934
2020-03-04,88871
2020-03-05,90318
2020-03-06,90223
2020-03-07,92739
2020-03-08,86075
2020-03-09,92073
2020-03-10,92992
2020-03-11,95501
2020-03-12,90785
2020-03-13,97205
2020-03-14,105465
2020-03-15,91264
2020-03-16,94107
2020-03-17,98092
2020-03-18,95552
2020-03-19,96660
2020-03-20,96049
2020-03-21,89985
2020-03-22,88756
2020-03-23,90455
2020-03-24,89493
2020-03-25,91891
2020-03-26,88177
2020-03-27,86023
2020-03-28,84161
2020-03-29,91339
2020-03-30,88572
2020-03-31,82536
2020-04-01,70109
2020-04-02,70059
2020-04-03,78074
2020-04-04,77385
2020-04-05,75705
2020-04-06,80890
2020-04-07,77046
2020-04-08,86914
2020-04-09,86960
2020-04-10,88597
2020-04-11,87218
2020-04-12,91290
2020-04-13,93213
